STA,Station Name,Elevation,Latitude,Longitude,Nearby City,Hydro #,Basin #,Owner,Maintenance,Operator,Map #,Collect #,County Name,Basin Name,Agency Name,Hydro Area,Sensor1,sensor2,sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,,,
BET,BETHEL ISLAND,9,38.04109192,-121.6321869,RIO VISTA,5,8101,999,999,704,999,0,CONTRA COSTA,DELTA,CA Dept of Water Resources/North Central Region Office,SACRAMENTO RIVER,5,14,25,27,61,100,222,223,224,,,,,,,,,,,,,,,
BIF,BETHEL ISLAND FIRE,20,38.0155,-121.6396,BETHEL ISLAND,2,8101,999,999,107,16,23,CONTRA COSTA,DELTA,Contra Costa County,SAN FRANCISCO BAY,2,,,,,,,,,,,,,,,,,,,,,,,
BIO,BRIONES DAM,588,37.9151,-122.207,PLEASANT HILL,2,2001,999,999,86,21,0,CONTRA COSTA,EAST BAY,East Bay Municipal Utility District,SAN FRANCISCO BAY,15,,,,,,,,,,,,,,,,,,,,,,,
BIR,MIDDLE R AT BACON ISLAND RD,10,37.943056,-121.53389,MIDDLE RIVER,6,9001,999,999,704,22,2,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,14,25,100,,,,,,,,,,,,,,,,,,,,
BIX,BIXLER ROAD,14,37.94,-121.622,BRENTWOOD,2,9001,999,999,107,23,0,CONTRA COSTA,SAN JOAQUIN R,Contra Costa County,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
BKD,BLACK DIAMOND MINES,1600,37.95,-121.884,CONCORD,2,2001,999,999,301,23,0,CONTRA COSTA,EAST BAY,East Bay Regional Parks Fire-Rescue Services,SAN FRANCISCO BAY,2,4,9,10,11,12,13,14,26,30,31,32,77,78,,,,,,,,,,
BKS,BARKER SLOUGH PUMPING PLANT (KG000000),0,38.2759,-121.7965,RIO VISTA,2,8101,999,999,703,17,0,SOLANO,DELTA,CA Dept of Water Resources/Operations and Maintenance,SAN FRANCISCO BAY,25,27,62,70,100,114,146,149,272,,,,,,,,,,,,,,,
BLI,BLACKLOCK ISLAND,0,38.1807,-121.9069,MONTEZUMA,5,6501,999,999,703,17,0,SOLANO,SACRAMENTO R,CA Dept of Water Resources/Operations and Maintenance,SACRAMENTO RIVER,1,,,,,,,,,,,,,,,,,,,,,,,
BLL,BLACKLOCK (NE1),0,38.1801,-121.9069,MONTEZUMA,5,6501,999,999,705,17,0,SOLANO,SACRAMENTO R,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,1,6,9,10,14,16,17,25,61,100,,,,,,,,,,,,,,
BLP,BLIND POINT,0,38.03245163,-121.7190399,RIO VISTA,5,8101,999,999,704,999,0,CONTRA COSTA,DELTA,CA Dept of Water Resources/North Central Region Office,SACRAMENTO RIVER,5,14,25,28,61,62,100,221,,,,,,,,,,,,,,,,
BMP,BON TEMPE,723,37.957,-122.61,SAN RAFAEL,2,1701,999,999,89,22,0,MARIN,COAST-MARIN,Marin Municipal Water District,SAN FRANCISCO BAY,15,,,,,,,,,,,,,,,,,,,,,,,
BNE,BRIONES,1450,37.934,-122.118,PLEASANT HILL,2,2001,999,999,301,22,0,CONTRA COSTA,EAST BAY,East Bay Regional Parks Fire-Rescue Services,SAN FRANCISCO BAY,2,4,9,10,11,12,13,14,26,30,31,32,77,78,,,,,,,,,,
BRC,BEAR CREEK NEAR LODI,60,38.074,-121.211,LODI,6,9001,999,999,139,17,0,SAN JOAQUIN,SAN JOAQUIN R,San Joaquin County,SAN JOAQUIN RIVER,1,16,45,,,,,,,,,,,,,,,,,,,,,
BSG,BARKER SLOUGH,83,38.32,-121.934448,VACAVILLE,2,8101,999,999,221,16,34,SOLANO,DELTA,Solano County Water Agency,SAN FRANCISCO BAY,45,,,,,,,,,,,,,,,,,,,,,,,
BTD,BRENTWOOD - CONTRA COSTA CO CORP YARD,95,37.92,-121.678,BRENTWOOD,2,2001,999,999,107,23,23,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
BTH,BETHANY FOREBAY,250,37.785,-121.617,BYRON,5,8101,999,999,1,23,0,ALAMEDA,DELTA,CA Dept of Water Resources,SACRAMENTO RIVER,15,,,,,,,,,,,,,,,,,,,,,,,
BXP,BIXLER PUMPING PLANT,14,37.9397,-121.6235,BRENTWOOD,2,8101,999,999,107,23,23,CONTRA COSTA,DELTA,Contra Costa County,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
CAD,CALAVERAS ROAD,1140,37.5531,-121.8439,SUNOL,2,2101,999,999,182,23,0,ALAMEDA,ALAMEDA CR,San Francisco PUC,SAN FRANCISCO BAY,2,4,9,10,11,12,13,14,26,30,31,32,77,78,,,,,,,,,,
CCP,CONCORD PAVILION,558,37.985,-121.9377,CONCORD,2,2801,999,999,107,23,0,CONTRA COSTA,SF BAY,Contra Costa County,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
CCS,CACHE SLOUGH,0,38.2918,-121.742,RIO VISTA,5,8101,999,999,50,16,0,SOLANO,DELTA,US Bureau of Reclamation,SACRAMENTO RIVER,14,25,100,,,,,,,,,,,,,,,,,,,,,
CCW,CCWD MIDDLE RIVER PP ON VICTORIA CANAL,0,37.86654,-121.54379,DISCOVERY BAY,6,8101,999,999,97,23,0,CONTRA COSTA,DELTA,Contra Costa Water District,SAN JOAQUIN RIVER,70,148,,,,,,,,,,,,,,,,,,,,,,
CF1,CFA RAWS NR IONE,660,38.38,-120.9303,IONE,6,9001,999,999,3,17,2,AMADOR,SAN JOAQUIN R,CA Dept of Forestry and Fire Protection,SAN JOAQUIN RIVER,2,4,9,10,11,12,13,14,17,26,77,78,,,,,,,,,,,,
CGV,COSGROVE CK NR VALLEY SPRINGS,547,38.1361,-120.8472,VALLEY SPRINGS,6,8401,999,999,56,18,0,CALAVERAS,CALAVERAS R,US Army Corps of Engineers,SAN JOAQUIN RIVER,1,14,,,,,,,,,,,,,,,,,,,,,,
CHB,CHABOT,250,37.73,-122.122,SAN  LEANDRO,2,2101,999,999,86,22,0,ALAMEDA,ALAMEDA CR,East Bay Municipal Utility District,SAN FRANCISCO BAY,15,,,,,,,,,,,,,,,,,,,,,,,
CIS,OLD RIVER AT CONEY ISLAND,5,37.84589386,-121.5379715,TRACY,6,9001,999,999,704,999,0,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,14,141,,,,,,,,,,,,,,,,,,,,,
CKR,COOK RANCH,325,38.016,-120.946,MILTON,6,8401,999,999,139,18,0,SAN JOAQUIN,CALAVERAS R,San Joaquin County,SAN JOAQUIN RIVER,45,,,,,,,,,,,,,,,,,,,,,,,
