STA,Station Name,Elevation,Latitude,Longitude,Nearby City,Hydro #,Basin #,Owner,Maintenance,Operator,Map #,Collect #,County Name,Basin Name,Agency Name,Hydro Area,Sensor1,sensor2,sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,,,
ESP,ESPERANZA (BANNER ROAD),2512,38.284417,-120.48975,MOUNTAIN RANCH,6,8401,999,999,3,17,0,CALAVERAS,CALAVERAS R,CA Dept of Forestry and Fire Protection,SAN JOAQUIN RIVER,2,4,9,10,11,12,13,14,17,26,77,78,,,,,,,,,,,,
FAL,FALSE RIVER NEAR OAKLEY,0,38.0558,-121.6669,OAKLEY,6,8101,999,999,5,17,0,CONTRA COSTA,DELTA,USGS/DWR,SAN JOAQUIN RIVER,1,20,21,25,28,61,100,221,222,223,224,225,226,227,228,229,230,,,,,,,
FCD,FLOOD CONTROL HQ - CONTRA COSTA CO,160,37.988,-122.085,CONCORD,2,9001,999,999,107,22,0,CONTRA COSTA,SAN JOAQUIN R,Contra Costa County,SAN FRANCISCO BAY,16,45,,,,,,,,,,,,,,,,,,,,,,
FCT,FISHERMANS CUT,4,38.067822,-121.648838,ANTIOCH,6,9001,999,999,704,16,17,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,20,21,25,61,100,221,222,223,224,225,226,227,228,229,230,,,,,,,,
FLT,GOODYEAR SLOUGH OUTFALL @ NAVAL FLEET,0,38.08037934,-122.1020479,BENICIA,5,8101,999,999,705,16,4,SOLANO,DELTA,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,14,25,100,,,,,,,,,,,,,,,,,,,,,
FLW,FLOWER MOUNTAIN,1480,37.92,-120.6803,COPPEROPOLIS,6,8501,999,999,56,24,0,TUOLUMNE,STANISLAUS R,US Army Corps of Engineers,SAN JOAQUIN RIVER,2,45,,,,,,,,,,,,,,,,,,,,,,
FPT,SACRAMENTO RIVER AT FREEPORT,0,38.45,-121.5,FREEPORT,5,6501,999,999,58,17,0,SACRAMENTO,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,1,14,20,21,25,100,221,,,,,,,,,,,,,,,,,
FPX,SACRAMENTO RIVER AT FREEPORT AUX,0,38.45,-121.5,FREEPORT,5,6501,999,999,58,17,0,SACRAMENTO,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,1,20,21,41,,,,,,,,,,,,,,,,,,,,
FR1,FARMINGTON CENTRAL ID CANAL,180,37.915,-120.935,FARMINGTON,6,8451,999,999,56,24,0,SAN JOAQUIN,LITTLEJOHN CR,US Army Corps of Engineers,SAN JOAQUIN RIVER,85,,,,,,,,,,,,,,,,,,,,,,,
FR2,FARMINGTON STOCKTON EAST CANAL,180,37.915,-120.935,FARMINGTON,6,8451,999,999,56,24,0,SAN JOAQUIN,LITTLEJOHN CR,US Army Corps of Engineers,SAN JOAQUIN RIVER,85,,,,,,,,,,,,,,,,,,,,,,,
FRF,FAIRFIELD,40,38.267,-122.067,FAIRFIELD,2,1901,999,999,40,16,0,SOLANO,NAPA R,National Weather Service,SAN FRANCISCO BAY,2,,,,,,,,,,,,,,,,,,,,,,,
FRK,FRANK'S TRACT MID TRACT,0,38.046417,-121.5981,ANTIOCH,6,8101,999,999,705,16,21,CONTRA COSTA,DELTA,CA Dept of Water Resources/Div of Environmental Services,SAN JOAQUIN RIVER,9,10,14,25,27,28,61,62,100,,,,,,,,,,,,,,,
FRM,FARMINGTON (SPILL ELEV 156.5 FT),180,37.915,-120.935,FARMINGTON,6,8451,999,999,56,24,0,SAN JOAQUIN,LITTLEJOHN CR,US Army Corps of Engineers,SAN JOAQUIN RIVER,2,6,7,15,22,23,45,76,91,,,,,,,,,,,,,,,
FRP,FARRAR PARK,0,38.011698,-121.639129,LINCOLN VILLAGE,5,8101,999,999,50,16,0,SAN JOAQUIN,DELTA,US Bureau of Reclamation,SACRAMENTO RIVER,14,25,100,,,,,,,,,,,,,,,,,,,,,
GCA,GRAYSON CREEK AT CENTER AVE,14,37.98332986,-122.0685338,PLEASANT HILL,2,2001,999,999,107,21,23,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,1,,,,,,,,,,,,,,,,,,,,,,,
GCC,GRAYSON CREEK AT CITY YARD,23,37.96295771,-122.0663882,PLEASANT HILL,2,2001,999,999,107,21,23,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,1,16,,,,,,,,,,,,,,,,,,,,,,
GCT,GRANTLINE CANAL AT TRACY RD BRIDGE,25,37.82014465,-121.4498596,TRACY,6,9001,999,999,1,999,0,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources,SAN JOAQUIN RIVER,1,14,25,27,28,61,62,100,141,,,,,,,,,,,,,,,
GDC,STANISLAUS R AT GOODWIN CANYON,400,37.858,-120.635,KNIGHTS FERRY,6,8501,999,999,801,24,0,TUOLUMNE,STANISLAUS R,CA Dept of Fish and Wildlife,SAN JOAQUIN RIVER,25,,,,,,,,,,,,,,,,,,,,,,,
GDJ,GOODWIN N MAIN (SSJ) CANAL,359,37.875,-120.603,SONORA,6,8501,999,999,50,24,0,CALAVERAS,STANISLAUS R,US Bureau of Reclamation,SAN JOAQUIN RIVER,85,,,,,,,,,,,,,,,,,,,,,,,
GDS,GOODWIN S MAIN (OAKDALE) CANAL,359,37.875,-120.603,SONORA,6,8501,999,999,50,24,0,CALAVERAS,STANISLAUS R,US Bureau of Reclamation,SAN JOAQUIN RIVER,85,,,,,,,,,,,,,,,,,,,,,,,
GDW,GOODWIN DAM,359,37.8628,-120.6297,SONORA,6,8501,999,999,50,24,0,CALAVERAS,STANISLAUS R,US Bureau of Reclamation,SAN JOAQUIN RIVER,6,7,8,15,22,71,85,,,,,,,,,,,,,,,,,
GES,SACRAMENTO RIVER BELOW GEORGIANA SLOUGH,0,38.2389,-121.5234,WALNUT GROVE,5,6501,999,999,58,17,0,SACRAMENTO,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,1,20,21,25,100,221,,,,,,,,,,,,,,,,,,
GGH,GREGORY HILL,188,38.268051,-122.06945,FAIRFIELD,2,8101,999,999,221,15,34,SOLANO,DELTA,Solano County Water Agency,SAN FRANCISCO BAY,45,,,,,,,,,,,,,,,,,,,,,,,
GGS,GEORGIANA SLOUGH,2,38.238,-121.517,WALNUT GROVE,5,8101,999,999,134,17,0,SACRAMENTO,DELTA,Sacramento County,SACRAMENTO RIVER,2,,,,,,,,,,,,,,,,,,,,,,,
GGT,GOLDEN GATE,0,37.81,-122.474,SAN FRANCISCO,2,2801,999,999,40,22,0,SAN FRANCISCO,SF BAY,National Weather Service,SAN FRANCISCO BAY,1,4,9,10,12,16,17,45,,,,,,,,,,,,,,,,
GLC,GRANTLINE CANAL (USGS),10,37.8196,-121.5485,TRACY,6,9001,999,999,5,23,0,SAN JOAQUIN,SAN JOAQUIN R,USGS/DWR,SAN JOAQUIN RIVER,1,20,21,25,28,41,61,62,100,221,,,,,,,,,,,,,,
GLE,GRANT LINE CANAL EAST,6,37.820258,-121.4348562,TRACY,6,9001,999,999,704,23,17,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,20,21,25,28,61,62,100,221,,,,,,,,,,,,,,,
GLN,GREEN'S LANDING,5,38.345,-121.546,COURTLAND,5,6501,999,999,50,17,0,SACRAMENTO,SACRAMENTO R,US Bureau of Reclamation,SACRAMENTO RIVER,5,14,25,,,,,,,,,,,,,,,,,,,,,
GLR,GILMORE RANCH,220,38.045,-120.987,BELLOTA,6,8401,999,999,139,18,0,SAN JOAQUIN,CALAVERAS R,San Joaquin County,SAN JOAQUIN RIVER,2,16,45,,,,,,,,,,,,,,,,,,,,,
GMB,STANISLAUS R AT GAMBINI PROPERTY,98,37.772,-120.888,OAKDALE,6,8501,999,999,801,24,0,STANISLAUS,STANISLAUS R,CA Dept of Fish and Wildlife,SAN JOAQUIN RIVER,25,,,,,,,,,,,,,,,,,,,,,,,
GMR,GREEN VALLEY CK AT MARTINELLI RD,74,38.4786,-122.9082,FORESTVILLE,1,1601,999,999,40,15,2,SONOMA,RUSSIAN R,National Weather Service,NORTH COAST,1,14,,,,,,,,,,,,,,,,,,,,,,
GOD,GODFATHER II ON SUISUN SLOUGH,0,38.1238,-122.0812,FAIRFIELD,5,8101,999,999,705,16,0,SOLANO,DELTA,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,14,25,27,28,61,62,100,,,,,,,,,,,,,,,,,
GRN,GREEN SPRINGS,1020,37.833,-120.5,HETCH HETCHY,6,8601,999,999,3,24,0,TUOLUMNE,TUOLUMNE R,CA Dept of Forestry and Fire Protection,SAN JOAQUIN RIVER,2,4,9,10,11,12,13,14,30,31,32,45,,,,,,,,,,,,
GSM,GEORGIANA SLOUGH AT MOKELUMNE R,18,38.129533,-121.582974,RIO VISTA,5,8301,999,999,704,16,2,SACRAMENTO,MOKELUMNE R,CA Dept of Water Resources/North Central Region Office,SACRAMENTO RIVER,1,14,,,,,,,,,,,,,,,,,,,,,,
GSS,GEORGIANA SLOUGH AT SACRAMENTO RIVER,10,38.237,-121.518,WALNUT GROVE,5,6501,999,999,58,17,0,SACRAMENTO,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,1,20,21,25,100,221,,,,,,,,,,,,,,,,,,
GTB,GALINDO CREEK AT TREAT BLVD,179,37.96153289,-121.9919101,CONCORD,2,2001,999,999,107,22,23,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,1,,,,,,,,,,,,,,,,,,,,,,,
GTO,GOODWIN TUNNEL OUTLET,600,37.8492,-120.6822,STOCKTON,6,9001,999,999,56,24,0,SAN JOAQUIN,SAN JOAQUIN R,US Army Corps of Engineers,SAN JOAQUIN RIVER,2,14,110,,,,,,,,,,,,,,,,,,,,,
GUL,RUSSIAN RIVER AT GUERNEVILLE LOCAL FLOW,9,38.501,-122.993,GUERNEVILLE,1,1601,999,999,40,15,13,MENDOCINO,RUSSIAN R,National Weather Service,NORTH COAST,142,,,,,,,,,,,,,,,,,,,,,,,
GVB,RUSSIAN RIVER AT GUERNEVILLE BRIDGE,9,38.501,-122.993,GUERNEVILLE,1,1601,999,999,405,16,0,SONOMA,RUSSIAN R,USGS/Sonoma County,NORTH COAST,1,14,169,,,,,,,,,,,,,,,,,,,,,
GVD,GREEN VALLEY CREEK AT DIABLO ROAD,370,37.826868,-121.9867349,DANVILLE,2,2001,999,999,107,22,23,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,1,,,,,,,,,,,,,,,,,,,,,,,
GYN,GREEN VLY CK NORTH OF CORDELIA JUNCTION,0,38.2206,-122.148,FAIRFIELD,5,8101,999,999,705,16,0,SOLANO,DELTA,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,1,14,,,,,,,,,,,,,,,,,,,,,,
GYS,GOODYEAR SLOUGH,0,38.118,-122.095,BENICIA,5,8101,999,999,705,16,0,SOLANO,DELTA,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,1,5,14,25,61,100,,,,,,,,,,,,,,,,,,
GZB,GRIZZLY BAY BUOY,0,38.123145,-122.007582,FAIRFIELD,2,8101,999,999,705,15,21,SOLANO,DELTA,CA Dept of Water Resources/Div of Environmental Services,SAN FRANCISCO BAY,14,25,27,28,61,62,100,,,,,,,,,,,,,,,,,
GZL,GRIZZLY BAY,0,38.12425,-122.038117,FAIRFIELD,2,8101,999,999,705,15,21,SOLANO,DELTA,CA Dept of Water Resources/Div of Environmental Services,SAN FRANCISCO BAY,9,10,14,25,27,28,61,62,100,,,,,,,,,,,,,,,
GZM,GRIZZLY BAY AT HEAD OF MONTEZUMA SL BUOY,0,38.141304,-122.060196,SUISUN CITY,5,8101,999,999,705,0,21,SOLANO,DELTA,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,14,25,28,61,62,100,221,275,,,,,,,,,,,,,,,,
HAC,RUSSIAN RIVER NEAR HACIENDA BRIDGE,20,38.50852203,-122.9277725,HACIENDA,1,1601,700,999,5,16,0,SONOMA,RUSSIAN R,USGS/DWR,NORTH COAST,1,14,20,41,,,,,,,,,,,,,,,,,,,,
HAS,HASS SLOUGH NEAR ELMIRA,0,38.294151,-121.725739,RIO VISTA,5,6501,999,999,58,0,22,SOLANO,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,1,20,21,25,27,100,,,,,,,,,,,,,,,,,,
HBL,HINEBAUGH CREEK AT LABATH AVE,20,38.3504802,-122.721313,ROHNERT PARK,1,1601,810,810,810,0,99,SONOMA,RUSSIAN R,City of Rohnert Park,NORTH COAST,1,4,12,14,,,,,,,,,,,,,,,,,,,,
HBP,HARVEY O BANKS PUMPING P (KA000331),4,37.801944,-121.620278,BYRON,5,8101,703,703,703,23,16,CONTRA COSTA,DELTA,CA Dept of Water Resources/Operations and Maintenance,SACRAMENTO RIVER,4,10,25,27,31,32,45,62,77,100,114,133,134,146,149,163,,,,,,,,
HLD,HIGHLAND PEAK,2520,37.8145,-121.8084,TASSAJARA,2,8101,999,999,107,23,0,CONTRA COSTA,DELTA,Contra Costa County,SAN FRANCISCO BAY,2,16,45,,,,,,,,,,,,,,,,,,,,,
HLL,HOLLAND TRACT,0,38.006986,-121.580617,RIO VISTA,5,8101,999,999,50,16,0,CONTRA COSTA,DELTA,US Bureau of Reclamation,SACRAMENTO RIVER,14,25,100,,,,,,,,,,,,,,,,,,,,,
HLT,MIDDLE RIVER NEAR HOLT,0,38.0031,-121.5108,HOLT,6,9001,999,999,5,17,0,SAN JOAQUIN,SAN JOAQUIN R,USGS/DWR,SAN JOAQUIN RIVER,1,20,21,25,28,100,221,,,,,,,,,,,,,,,,,
HNN,LAKE HENNESSEY,331,38.482,-122.372,RUTHERFORD,2,1901,999,999,128,16,0,NAPA,NAPA R,Napa County,SAN FRANCISCO BAY,15,,,,,,,,,,,,,,,,,,,,,,,
HOL,HOLLAND CUT NEAR BETHEL ISLAND,0,38.0164,-121.5819,BETHEL ISLAND,6,9001,999,999,5,17,0,SAN JOAQUIN,SAN JOAQUIN R,USGS/DWR,SAN JOAQUIN RIVER,1,20,21,25,27,61,100,221,222,223,224,225,226,227,228,229,230,,,,,,,
HON,HONKER BAY,0,38.0724,-121.9392,FAIRFIELD,2,8101,999,999,705,16,21,SOLANO,DELTA,CA Dept of Water Resources/Div of Environmental Services,SAN FRANCISCO BAY,14,25,27,28,61,62,100,,,,,,,,,,,,,,,,,
HRO,HARVEY O BANKS PUMPING PLANT,4,37.798,-121.623,BYRON,5,8101,999,999,713,23,21,CONTRA COSTA,DELTA,CA Dept of Water Resources/O&M San Joaquin Field Division,SACRAMENTO RIVER,27,61,62,70,100,101,109,112,146,148,149,150,151,152,153,179,266,269,272,274,,,,
HSL,HILL SLOUGH,0,38.2222,-122.024,SUISUN CITY,5,8101,999,999,705,0,21,SOLANO,DELTA,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,1,14,25,27,28,61,62,100,,,,,,,,,,,,,,,,
HSP,HOSPITAL CREEK,50,37.6105,-121.2308,MODESTO,6,9001,999,999,234,23,0,STANISLAUS,SAN JOAQUIN R,West Stanislaus ID / SJVDA,SAN JOAQUIN RIVER,1,14,20,25,100,,,,,,,,,,,,,,,,,,,
HUN,HUNTER CUT AT MONTEZUMA SLOUGH,0,38.156,-122.0527,FAIRFIELD,5,8101,999,999,705,16,0,SOLANO,DELTA,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,1,14,25,27,28,61,62,100,,,,,,,,,,,,,,,,
HWB,MINER SLOUGH AT HWY 84 BRIDGE,0,38.2917,-121.6308,OXFORD,5,6501,999,999,58,17,0,SOLANO,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,1,20,21,25,61,100,221,,,,,,,,,,,,,,,,,
IBS,IBIS,0,38.157,-122.113,CORDELIA,5,8101,999,999,705,16,0,SOLANO,DELTA,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,1,5,14,25,100,,,,,,,,,,,,,,,,,,,
IDB,CCWD OLD RIVER PP NEAR DISCOVERY BAY,0,37.8833,-121.577,DISCOVERY BAY,2,8101,999,999,97,23,0,CONTRA COSTA,DELTA,Contra Costa Water District,SAN FRANCISCO BAY,70,148,,,,,,,,,,,,,,,,,,,,,,
INB,CCWD ROCK SLOUGH PP NEAR BRENTWOOD,0,37.996,-121.702,BRENTWOOD,2,8101,999,999,97,23,0,CONTRA COSTA,DELTA,Contra Costa Water District,SAN FRANCISCO BAY,70,140,,,,,,,,,,,,,,,,,,,,,,
ING,INGRAM CREEK,25,37.6002,-121.2251,VERNALIS,5,9001,999,999,234,23,0,STANISLAUS,SAN JOAQUIN R,West Stanislaus ID / SJVDA,SACRAMENTO RIVER,1,14,25,100,,,,,,,,,,,,,,,,,,,,
ISD,IRONHOUSE SANITARY DISTRICT,6,38.0013,-121.7094,ANTIOCH,6,9001,999,999,107,17,0,CONTRA COSTA,SAN JOAQUIN R,Contra Costa County,SAN JOAQUIN RIVER,9,10,16,,,,,,,,,,,,,,,,,,,,,
ISH,ITALIAN SLOUGH HEADWATER NR BYRON,5,37.84012222,-121.6029587,BYRON,6,9001,999,999,704,999,0,CONTRA COSTA,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,14,141,,,,,,,,,,,,,,,,,,,,,
JER,JERSEY POINT,0,38.052155,-121.688971,RIO VISTA,5,8101,999,999,50,16,0,CONTRA COSTA,DELTA,US Bureau of Reclamation,SACRAMENTO RIVER,14,25,27,100,222,223,224,225,226,227,,,,,,,,,,,,,,
JMP,STANISLAUS R AT JACOB MEYERS PARK,98,37.743,-120.942,RIVERBANK,6,8501,999,999,801,24,0,SAN JOAQUIN,STANISLAUS R,CA Dept of Fish and Wildlife,SAN JOAQUIN RIVER,25,,,,,,,,,,,,,,,,,,,,,,,
JNR,JOHNSON RANCH,2042,37.6667,-121.604,TRACY,2,2001,999,999,139,23,0,ALAMEDA,EAST BAY,San Joaquin County,SAN FRANCISCO BAY,2,45,,,,,,,,,,,,,,,,,,,,,,
JTR,JONES TRACT,-19,37.9224,-121.5182,STOCKTON,6,8101,999,999,704,23,0,SAN JOAQUIN,DELTA,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,14,20,,,,,,,,,,,,,,,,,,,,,
KA0,CLIFTON COURT (KA000000) TEST SITE,3,37.8298,-121.5574,BYRON,2,8101,999,999,703,23,0,CONTRA COSTA,DELTA,CA Dept of Water Resources/Operations and Maintenance,SAN FRANCISCO BAY,25,27,62,100,114,146,,,,,,,,,,,,,,,,,,
KFS,KNIGHTS FERRY AT SONORA ROAD BRIDGE,200,37.819,-120.667,KNIGHTS FERRY,6,8501,999,999,801,24,0,STANISLAUS,STANISLAUS R,CA Dept of Fish and Wildlife,SAN JOAQUIN RIVER,25,,,,,,,,,,,,,,,,,,,,,,,
KGR,KREGOR PEAK,1894,37.943,-121.89,CLAYTON,2,2001,999,999,107,23,0,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
KNF,KNIGHTS FERRY 2 ESE,315,37.8,-120.65,OAKDALE,6,8501,999,999,999,24,0,STANISLAUS,STANISLAUS R,.None Specified,SAN JOAQUIN RIVER,2,,,,,,,,,,,,,,,,,,,,,,,
KNT,KENT,415,37.997,-122.702,FOREST KNOLLS,2,1701,999,999,89,22,0,MARIN,COAST-MARIN,Marin Municipal Water District,SAN FRANCISCO BAY,15,,,,,,,,,,,,,,,,,,,,,,,
KOT,STANISLAUS R AT KOETITZ RANCH,54,37.69978,-121.170194,MODESTO,6,8501,999,999,706,23,2,STANISLAUS,STANISLAUS R,CA Dept of Water Resources/South Central Region Office,SAN JOAQUIN RIVER,1,14,20,,,,,,,,,,,,,,,,,,,,,
LBR,LIBERTY ROAD,100,38.283,-122.7,PETALUMA,2,1801,999,999,75,16,0,SONOMA,PETALUMA R,City of Petaluma,SAN FRANCISCO BAY,45,,,,,,,,,,,,,,,,,,,,,,,
LCF,LITTLEJOHN CK AT FARMINGTON,113,37.9267,-121.0017,STOCKTON,6,9001,999,999,56,23,0,SAN JOAQUIN,SAN JOAQUIN R,US Army Corps of Engineers,SAN JOAQUIN RIVER,1,14,,,,,,,,,,,,,,,,,,,,,,
LCS,LOWER CRYSTAL SPRINGS,424,37.5325,-122.363,SAN MATEO,2,2650,999,999,182,22,2,SAN MATEO,SAN MATEO CREEK,San Francisco PUC,SAN FRANCISCO BAY,14,16,45,,,,,,,,,,,,,,,,,,,,,
LCU,LAKE CURRY,391,38.357784,-122.125549,FAIRFIELD,2,8101,999,999,221,15,34,NAPA,DELTA,Solano County Water Agency,SAN FRANCISCO BAY,45,,,,,,,,,,,,,,,,,,,,,,,
LFY,LAFAYETTE,465,37.885,-122.138,ORINDA,2,2801,999,999,86,22,0,CONTRA COSTA,SF BAY,East Bay Municipal Utility District,SAN FRANCISCO BAY,15,,,,,,,,,,,,,,,,,,,,,,,
LGN,TUOLUMNE R BLW LA GRANGE DAM NR LA GRANG,170,37.6663208,-120.4421387,LA GRANGE,6,8601,999,999,58,24,0,STANISLAUS,TUOLUMNE R,US Geological Survey,SAN JOAQUIN RIVER,1,14,20,41,,,,,,,,,,,,,,,,,,,,
LGR,LA GRANGE RELEASE,52,37.667,-120.462,TURLOCK,6,8601,999,999,56,24,0,STANISLAUS,TUOLUMNE R,US Army Corps of Engineers,SAN JOAQUIN RIVER,7,,,,,,,,,,,,,,,,,,,,,,,
LGT,LAGUNITAS LAKE,799,37.947,-122.597,PETALUMA,2,1701,999,999,89,22,0,MARIN,COAST-MARIN,Marin Municipal Water District,SAN FRANCISCO BAY,2,15,,,,,,,,,,,,,,,,,,,,,,
LIB,LIBERTY ISLAND @ APPROX CNTR S END,0,38.2421,-121.6849,RIO VISTA,5,6501,999,999,58,17,0,SOLANO,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,1,20,21,25,61,100,221,,,,,,,,,,,,,,,,,
LIC,LICHAU CREEK,600,38.317,-122.633,PETALUMA,2,1801,999,999,75,16,0,SONOMA,PETALUMA R,City of Petaluma,SAN FRANCISCO BAY,2,45,,,,,,,,,,,,,,,,,,,,,,
LIR,LIBERTY ISLAND - RD2068,0,38.32928085,-121.6939697,SACRAMENTO,5,6501,999,999,704,999,0,SOLANO,SACRAMENTO R,CA Dept of Water Resources/North Central Region Office,SACRAMENTO RIVER,1,14,16,141,,,,,,,,,,,,,,,,,,,,
LIS,YOLO BYPASS AT LISBON,0,38.47478104,-121.5882263,FREEPORT,5,6501,700,999,704,999,0,YOLO,SACRAMENTO R,CA Dept of Water Resources/North Central Region Office,SACRAMENTO RIVER,1,14,20,21,25,28,61,62,100,141,169,221,,,,,,,,,,,,
LIY,LIBERTY ISLAND - YOLO BYPASS,0,38.32927704,-121.6939774,SACRAMENTO,5,6501,999,999,704,999,0,SOLANO,SACRAMENTO R,CA Dept of Water Resources/North Central Region Office,SACRAMENTO RIVER,1,16,141,,,,,,,,,,,,,,,,,,,,,
LOD,LODI,40,38.1,-121.283,STOCKTON,6,8301,999,999,40,17,0,SAN JOAQUIN,MOKELUMNE R,National Weather Service,SAN JOAQUIN RIVER,2,,,,,,,,,,,,,,,,,,,,,,,
LPC,LAPACHET RANCH,260,38.032,-120.976,BELLOTA,6,8401,999,999,139,18,0,SAN JOAQUIN,CALAVERAS R,San Joaquin County,SAN JOAQUIN RIVER,16,,,,,,,,,,,,,,,,,,,,,,,
LPS,LITTLE POTATO SLOUGH AT TERMINOUS,0,38.0964,-121.4961,TERMINOUS,6,9001,999,999,58,17,0,SAN JOAQUIN,SAN JOAQUIN R,US Geological Survey,SAN JOAQUIN RIVER,1,20,21,25,100,221,,,,,,,,,,,,,,,,,,
LSM,LOS MEDANOS,130,37.9973,-121.8564,ANTIOCH,2,2801,999,999,107,23,0,CONTRA COSTA,SF BAY,Contra Costa County,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
LTR,LAS TRAMPAS,1760,37.834,-122.067,WALNUT CREEK,2,2001,999,999,301,22,0,CONTRA COSTA,EAST BAY,East Bay Regional Parks Fire-Rescue Services,SAN FRANCISCO BAY,2,4,9,10,11,12,13,14,26,30,31,32,77,78,,,,,,,,,,
LVQ,LOS VAQUEROS RESERVOIR,472,37.838,-121.726,BYRON,2,8151,999,999,97,23,0,CONTRA COSTA,KELLOGG CREEK,Contra Costa Water District,SAN FRANCISCO BAY,15,,,,,,,,,,,,,,,,,,,,,,,
M38,NF MOKELUMNE R AB TIGER CREEK,2338,38.446667,-120.489166,WEST POINT,6,8301,999,999,60,18,20,AMADOR,MOKELUMNE R,Pacific Gas & Electric,SAN JOAQUIN RIVER,20,,,,,,,,,,,,,,,,,,,,,,,
M46,NF MOKELUMNE R BL ELECTRA DIVERSION,1980,38.420834,-120.548889,WEST POINT,6,8301,999,999,60,18,20,AMADOR,MOKELUMNE R,Pacific Gas & Electric,SAN JOAQUIN RIVER,20,,,,,,,,,,,,,,,,,,,,,,,
M64,WEST POINT POWERHOUSE,2028,38.4209,-120.54958,WEST POINT,6,8301,999,999,60,0,20,ALAMEDA,MOKELUMNE R,Pacific Gas & Electric,SAN JOAQUIN RIVER,48,272,,,,,,,,,,,,,,,,,,,,,,
M65,ELECTRA POWERHOUSE,686,38.33101,-120.6699,MOKELUMNE HILL,6,8301,999,999,60,0,20,AMADOR,MOKELUMNE R,Pacific Gas & Electric,SAN JOAQUIN RIVER,48,272,,,,,,,,,,,,,,,,,,,,,,
MAB,MIDDLE RIVER ABOVE BARRIER,7,37.88518143,-121.4727631,STOCKTON,6,9001,999,999,704,999,17,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,20,21,25,,,,,,,,,,,,,,,,,,,,
MAC,MARSH CREEK RESERVOIR,205,37.89,-121.725,,2,2001,999,999,107,23,0,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,6,16,,,,,,,,,,,,,,,,,,,,,,
MAL,SACRAMENTO RIVER AT MALLARD ISLAND,0,38.04280472,-121.9200897,PITTSBURG,5,6501,999,999,705,999,0,CONTRA COSTA,SACRAMENTO R,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,1,4,5,9,10,14,20,21,25,26,27,28,61,62,92,100,102,141,,,,,,
MBT,NF MOKELUMNE R BL TIGER CREEK AFTERBAY,2220,38.440277,-120.503891,WEST POINT,6,8301,999,999,60,18,20,AMADOR,MOKELUMNE R,Pacific Gas & Electric,SAN JOAQUIN RIVER,20,41,,,,,,,,,,,,,,,,,,,,,,
MBW,MARSH CREEK AT BRENTWOOD,43,37.962552,-121.688089,BRENTWOOD,2,2001,999,999,107,22,23,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,1,,,,,,,,,,,,,,,,,,,,,,,
MCC,COSUMNES RIVER NEAR MCCONNELL,5,38.35766602,-121.3437347,GALT,6,8201,999,999,704,999,0,SACRAMENTO,COSUMNES R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,14,169,,,,,,,,,,,,,,,,,,,,,
MCI,MCINTIRE ROAD,180,38.22,-121.038,LOCKEFORD,6,8301,999,999,139,17,0,SAN JOAQUIN,MOKELUMNE R,San Joaquin County,SAN JOAQUIN RIVER,16,,,,,,,,,,,,,,,,,,,,,,,
